======================================================================
  SPICERACK — SPICE AUDIT REPORT
======================================================================

  Total recipes scanned  : 2,231,142
  Existing spices tracked: 173
  Candidate new spices   : 1516720

──────────────────────────────────────────────────────────────────────
  SECTION 1: YOUR EXISTING SPICES — ranked by recipe appearances
──────────────────────────────────────────────────────────────────────
  SPICE                                  RECIPES  % OF DATASET
  instant vanilla pudding                       9,635         0.43%
  sun dried                                     9,625         0.43%
  dried oregano teaspoon                        9,571         0.43%
  chopped fresh basil                           9,495         0.43%
  cups powdered                                 9,358         0.42%
  teaspoons kosher salt                         9,337         0.42%
  sugar tsp cinnamon                            9,333         0.42%
  unsweetened cocoa powder                      9,315         0.42%
  maraschino cherries                           9,209         0.41%
  dried cranberries                             9,208         0.41%
  tsp ginger                                    9,201         0.41%
  herbs                                         9,155         0.41%
  ginger tsp                                    9,139         0.41%
  teaspoon dried basil                          9,110         0.41%
  oregano tsp                                   9,090         0.41%
  teaspoon sea salt                             9,080         0.41%
  red chili                                     9,070         0.41%
  poppy                                         9,045         0.41%
  cups powdered sugar                           9,004         0.40%
  teaspoon oregano                              8,968         0.40%
  teaspoon red pepper                           8,934         0.40%

──────────────────────────────────────────────────────────────────────
  SECTION 3: QUICK STATS
──────────────────────────────────────────────────────────────────────

  Top 5 most common spices in dataset:
    salt                                1,088,007 recipes
    black pepper                        980,953 recipes
    garlic                              579,327 recipes
    vanilla                             352,789 recipes
    cloves                              275,470 recipes

  5 least common spices in dataset:
    mulato chili powder                 1 recipes
    kombu powder                        1 recipes
    dried pomegranate seed              1 recipes
    liquid smoke powder                 1 recipes
    pasilla powder                      2 recipes

======================================================================
  END OF REPORT — paste Section 2 back to Claude to update spice_data.py
======================================================================
